,album,track_number,id,name,uri,preview_url,artists,energy,valence,popularity,album_image,mood_vectors
0,Malaai Chaana Na,1,3IJQVaQcf1LQDrPEhGIlnH,Malaai Chaana Na,spotify:track:3IJQVaQcf1LQDrPEhGIlnH,https://p.scdn.co/mp3-preview/3c8cf0b1647fc719e652b23b2ca4ac71ee5bfee4?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.248,0.283,48,https://i.scdn.co/image/ab67616d0000b27363a1ce24bd655497af8b1c80,"[0.283, 0.248]"
1,Malaai Chaana Na,2,7LdTjqwkSBAKzjssfIDHBO,Aaja Matra,spotify:track:7LdTjqwkSBAKzjssfIDHBO,https://p.scdn.co/mp3-preview/3cda765a78de40999e1037ddb0d9ac2040121dd4?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.289,0.303,41,https://i.scdn.co/image/ab67616d0000b27363a1ce24bd655497af8b1c80,"[0.303, 0.289]"
2,Katha: Episode VIII - Tadhiera,1,7iwQRdO2T6VZ5XoSywHgP6,Katha: Episode VIII - Tadhiera,spotify:track:7iwQRdO2T6VZ5XoSywHgP6,https://p.scdn.co/mp3-preview/5423214e89e87a46cda34b85471add4e3a90adf1?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5sml6juxnDkUFi3K3bRAuq'}, 'href': 'https://api.spotify.com/v1/artists/5sml6juxnDkUFi3K3bRAuq', 'id': '5sml6juxnDkUFi3K3bRAuq', 'name': 'Wangden Sherpa', 'type': 'artist', 'uri': 'spotify:artist:5sml6juxnDkUFi3K3bRAuq'}]",0.388,0.181,37,https://i.scdn.co/image/ab67616d0000b27327ed17a2c725e413c7f461ce,"[0.181, 0.388]"
3,Aaja Matra,1,011dHuXjT234VBO6z5O6kJ,Aaja Matra,spotify:track:011dHuXjT234VBO6z5O6kJ,https://p.scdn.co/mp3-preview/e93413691918ab5ac9ac72c7b31f41aef38bdbc2?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.289,0.311,43,https://i.scdn.co/image/ab67616d0000b27381b45d1a66f9e6a780ce6d60,"[0.311, 0.289]"
4,Aaja Matra,2,5qsBQg9qCwqzFHfgfUGVss,Suna Kaanchi,spotify:track:5qsBQg9qCwqzFHfgfUGVss,https://p.scdn.co/mp3-preview/0b81d14994647814c7bc6230d0d56fa6c0acb91c?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.401,0.775,39,https://i.scdn.co/image/ab67616d0000b27381b45d1a66f9e6a780ce6d60,"[0.775, 0.401]"
5,Katha: Episode VII - Jeevan,1,35pLMyMgUKbBMgDP2sLFsh,Katha: Episode VII - Jeevan,spotify:track:35pLMyMgUKbBMgDP2sLFsh,https://p.scdn.co/mp3-preview/e08faa8c58f5b8b9a6584ce2193b429c4b0da14e?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3Sw9fGSv8Ms7f0AcI5ewh8'}, 'href': 'https://api.spotify.com/v1/artists/3Sw9fGSv8Ms7f0AcI5ewh8', 'id': '3Sw9fGSv8Ms7f0AcI5ewh8', 'name': 'Dixita Karki', 'type': 'artist', 'uri': 'spotify:artist:3Sw9fGSv8Ms7f0AcI5ewh8'}]",0.328,0.309,36,https://i.scdn.co/image/ab67616d0000b27304b2c90ed815220b95257b7e,"[0.309, 0.328]"
6,Suna Kaanchi,1,2PUAaqMu3nSSk8XFO1xUFZ,Suna Kaanchi,spotify:track:2PUAaqMu3nSSk8XFO1xUFZ,https://p.scdn.co/mp3-preview/0b81d14994647814c7bc6230d0d56fa6c0acb91c?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.401,0.775,59,https://i.scdn.co/image/ab67616d0000b273526ed0c0d1ce4f23f7c53d23,"[0.775, 0.401]"
7,Suna Kaanchi,2,7Kh6uUEyql7rzf8rMmmYKj,Pahaar,spotify:track:7Kh6uUEyql7rzf8rMmmYKj,https://p.scdn.co/mp3-preview/48c24b30edd5cad7a79ffa2e0af812427ce9842e?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.539,0.179,38,https://i.scdn.co/image/ab67616d0000b273526ed0c0d1ce4f23f7c53d23,"[0.179, 0.539]"
8,Pahaar (Live Version),1,0EUxdsQ25l0BMgdVQNhAy2,Pahaar - Live Version,spotify:track:0EUxdsQ25l0BMgdVQNhAy2,https://p.scdn.co/mp3-preview/48c24b30edd5cad7a79ffa2e0af812427ce9842e?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.539,0.179,37,https://i.scdn.co/image/ab67616d0000b273a581d047b03c43f83057fb22,"[0.179, 0.539]"
9,Pahaar (Live Version),2,7CgwUXqJyD7BjIzXsuVKBT,Nothing In My Head Besides Timi,spotify:track:7CgwUXqJyD7BjIzXsuVKBT,https://p.scdn.co/mp3-preview/7f83ef963f323fbd7acb8b04101784689071f827?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1deQzOQwArAsUgm2WdjtyI'}, 'href': 'https://api.spotify.com/v1/artists/1deQzOQwArAsUgm2WdjtyI', 'id': '1deQzOQwArAsUgm2WdjtyI', 'name': 'Sajjan Raj Vaidya', 'type': 'artist', 'uri': 'spotify:artist:1deQzOQwArAsUgm2WdjtyI'}]",0.881,0.89,34,https://i.scdn.co/image/ab67616d0000b273a581d047b03c43f83057fb22,"[0.89, 0.881]"
